Age,Income,Loan_Amount,Credit_Score,Months_Employed,Num_Credit_Lines,Interest_Rate,Loan_Term,Debt_Income_Ratio,Education,Employment_Type,Marital_Status,Has_Mortgage,Has_Dependents,Loan_Purpose,Has_CoSigner,Defaulted,Loan_Income_ratio,Credit_score_Band,Age_band,Tenure_band
27,19553,133494,531,24,3,20.8,60,0.89,PhD,Self-employed,Single,Yes,No,Business,No,1,6.83,Poor,25-35 ,1-3 years
55,33153,58794,786,37,2,11.37,36,0.79,Bachelor's,Full-time,Married,Yes,Yes,Education,Yes,0,1.77,Very Good,46-60,3-5 years
18,30769,122770,330,112,4,8.02,48,0.56,Master's,Part-time,Divorced,No,No,Education,Yes,1,3.99,Poor,<25,>5 years
44,145462,212224,829,71,4,18.19,60,0.85,PhD,Unemployed,Divorced,Yes,No,Other,Yes,1,1.46,Excellent,36-45,>5 years
63,78764,218791,400,114,2,22.72,48,0.26,Master's,Full-time,Divorced,Yes,Yes,Other,Yes,0,2.78,Poor,>60,>5 years
25,112809,237285,565,60,3,10.39,36,0.17,Bachelor's,Part-time,Married,No,Yes,Business,Yes,0,2.1,Poor,25-35 ,#N/A
68,63535,87116,733,16,4,13.81,60,0.43,Bachelor's,Full-time,Single,No,No,Home,Yes,0,1.37,Good,>60,1-3 years
63,75454,67446,580,34,3,19.02,24,0.39,Bachelor's,Unemployed,Married,Yes,No,Education,No,0,0.89,Fair,>60,1-3 years
59,25504,116803,301,10,3,18.83,12,0.83,High School,Full-time,Divorced,Yes,Yes,Education,No,0,4.58,Poor,46-60,<1 year
34,34044,180297,703,31,4,20.96,24,0.11,High School,Self-employed,Married,No,No,Education,Yes,1,5.3,Good,25-35 ,1-3 years
26,107466,158607,385,75,3,15.07,36,0.26,PhD,Full-time,Divorced,No,No,Business,Yes,1,1.48,Poor,25-35 ,>5 years
23,31009,22618,375,101,1,5.66,48,0.88,High School,Self-employed,Single,Yes,Yes,Business,Yes,0,0.73,Poor,<25,>5 years
60,119714,249273,821,4,4,18.01,36,0.71,Master's,Unemployed,Single,Yes,Yes,Home,Yes,0,2.08,Excellent,46-60,<1 year
42,84783,13440,668,59,4,20.55,36,0.34,Master's,Unemployed,Divorced,Yes,No,Home,No,0,0.16,Fair,36-45,3-5 years
56,44029,129261,768,21,1,9.99,48,0.46,PhD,Self-employed,Married,Yes,No,Auto,Yes,0,2.94,Very Good,46-60,1-3 years
66,59206,80600,420,32,1,18.63,36,0.7,High School,Self-employed,Single,No,Yes,Education,No,0,1.36,Poor,>60,1-3 years
45,37793,205919,571,35,1,10.24,24,0.74,Bachelor's,Full-time,Divorced,Yes,Yes,Home,No,0,5.45,Poor,36-45,1-3 years
50,115446,9806,496,101,2,21.25,60,0.33,Master's,Full-time,Divorced,Yes,Yes,Education,Yes,0,0.08,Poor,46-60,>5 years
54,77860,190602,801,57,2,5.79,48,0.55,Bachelor's,Part-time,Married,Yes,Yes,Other,No,0,2.45,Excellent,46-60,3-5 years
26,84139,135822,550,16,4,2.23,36,0.7,Bachelor's,Self-employed,Divorced,No,No,Business,Yes,0,1.61,Poor,25-35 ,1-3 years
35,112137,151560,563,53,1,21.63,24,0.59,High School,Unemployed,Married,No,Yes,Business,Yes,0,1.35,Poor,25-35 ,3-5 years
38,46852,211248,615,40,3,15.07,48,0.89,Bachelor's,Part-time,Divorced,No,No,Education,Yes,0,4.51,Fair,36-45,3-5 years
19,129724,96117,637,23,4,17.81,48,0.26,Bachelor's,Self-employed,Divorced,Yes,Yes,Auto,Yes,1,0.74,Fair,<25,1-3 years
60,142772,223626,829,19,1,24.16,24,0.84,Bachelor's,Unemployed,Divorced,No,No,Business,No,0,1.57,Excellent,46-60,1-3 years
55,135858,142894,503,11,3,11.13,24,0.79,Bachelor's,Part-time,Married,Yes,No,Other,No,0,1.05,Poor,46-60,<1 year
57,27158,240351,686,13,1,8.95,60,0.14,High School,Self-employed,Single,Yes,Yes,Auto,No,0,8.85,Good,46-60,1-3 years
53,57894,168473,550,25,2,21.93,24,0.4,Bachelor's,Unemployed,Single,No,No,Education,Yes,0,2.91,Poor,46-60,1-3 years
67,34677,79581,843,72,4,5.9,12,0.76,Bachelor's,Self-employed,Single,Yes,Yes,Home,No,0,2.29,Excellent,>60,>5 years
60,18516,21054,438,37,4,5.14,48,0.83,High School,Self-employed,Divorced,No,No,Home,No,0,1.14,Poor,46-60,3-5 years
54,42776,94223,408,41,1,14.68,36,0.85,Master's,Full-time,Divorced,Yes,Yes,Other,No,0,2.2,Poor,46-60,3-5 years
32,53674,214774,468,52,4,3.42,24,0.87,Bachelor's,Full-time,Married,No,No,Business,No,0,4,Poor,25-35 ,3-5 years
45,108629,43766,553,100,2,7.61,24,0.59,Master's,Self-employed,Married,Yes,No,Business,No,0,0.4,Poor,36-45,>5 years
35,149973,165214,747,61,3,24.45,12,0.86,Master's,Self-employed,Divorced,No,Yes,Education,Yes,0,1.1,Very Good,25-35 ,>5 years
51,145754,88045,321,72,4,8.01,36,0.24,Master's,Self-employed,Single,Yes,No,Other,Yes,0,0.6,Poor,46-60,>5 years
39,46287,124935,409,83,3,18.72,24,0.47,Master's,Self-employed,Divorced,Yes,Yes,Home,Yes,0,2.7,Poor,36-45,>5 years
28,36998,45816,714,66,3,14.24,48,0.8,PhD,Self-employed,Divorced,Yes,Yes,Auto,Yes,0,1.24,Good,25-35 ,>5 years
30,147261,72487,816,68,1,21.4,12,0.7,PhD,Unemployed,Divorced,Yes,No,Education,Yes,0,0.49,Excellent,25-35 ,>5 years
21,81822,67522,820,100,4,19.73,60,0.56,Bachelor's,Part-time,Divorced,No,Yes,Business,No,0,0.83,Excellent,<25,>5 years
39,72622,136110,599,114,3,10.72,12,0.21,Bachelor's,Unemployed,Married,No,Yes,Business,No,1,1.87,Fair,36-45,>5 years
24,67599,152065,737,69,4,23.99,48,0.63,PhD,Part-time,Divorced,Yes,No,Other,Yes,0,2.25,Good,<25,>5 years
60,17624,15980,760,70,1,21.11,60,0.69,Bachelor's,Part-time,Divorced,Yes,Yes,Auto,No,0,0.91,Very Good,46-60,>5 years
41,49159,208110,730,27,1,18.35,36,0.82,Bachelor's,Full-time,Married,Yes,Yes,Education,Yes,0,4.23,Good,36-45,1-3 years
21,105048,70801,437,79,4,6.8,12,0.77,Bachelor's,Self-employed,Divorced,No,No,Auto,No,0,0.67,Poor,<25,>5 years
45,33916,161719,591,74,2,23.22,12,0.78,Bachelor's,Unemployed,Single,No,No,Other,No,0,4.77,Fair,36-45,>5 years
32,31773,113134,350,78,2,19.9,24,0.57,PhD,Unemployed,Single,No,No,Auto,Yes,1,3.56,Poor,25-35 ,>5 years
18,18299,197528,430,104,2,10.82,60,0.48,Master's,Unemployed,Single,No,No,Education,Yes,1,10.79,Poor,<25,>5 years
20,62903,109827,327,78,1,24.57,24,0.23,PhD,Unemployed,Single,No,No,Business,No,1,1.75,Poor,<25,>5 years
31,107915,243037,845,65,4,19.15,12,0.6,Bachelor's,Full-time,Single,No,No,Other,Yes,0,2.25,Excellent,25-35 ,>5 years
55,107584,187742,403,117,1,6.87,48,0.1,PhD,Part-time,Married,Yes,No,Home,No,0,1.75,Poor,46-60,>5 years
67,66992,73939,375,116,2,12.98,24,0.86,Bachelor's,Full-time,Single,Yes,No,Auto,No,1,1.1,Poor,>60,>5 years
18,120695,216658,624,108,3,12.36,48,0.74,High School,Full-time,Single,Yes,Yes,Education,No,0,1.8,Fair,<25,>5 years
55,140461,49618,344,94,1,9.54,48,0.7,Bachelor's,Unemployed,Married,No,Yes,Business,No,0,0.35,Poor,46-60,>5 years
55,45475,9002,463,105,2,10.34,24,0.18,High School,Part-time,Married,Yes,Yes,Other,Yes,0,0.2,Poor,46-60,>5 years
38,133881,182717,415,45,1,15.87,60,0.84,Master's,Part-time,Single,No,No,Auto,No,0,1.36,Poor,36-45,3-5 years
65,121904,49596,327,7,2,5.22,36,0.89,PhD,Full-time,Single,No,Yes,Other,Yes,0,0.41,Poor,>60,<1 year
46,63862,231994,727,93,4,12.23,12,0.21,Master's,Full-time,Divorced,No,Yes,Auto,Yes,0,3.63,Good,46-60,>5 years
22,20420,24486,305,95,2,5.42,60,0.59,Master's,Self-employed,Divorced,Yes,No,Auto,No,0,1.2,Poor,<25,>5 years
66,60504,84669,505,14,2,15.17,48,0.86,Bachelor's,Unemployed,Divorced,Yes,Yes,Auto,Yes,0,1.4,Poor,>60,1-3 years
27,147378,54397,749,96,2,10.03,60,0.15,Master's,Full-time,Divorced,No,No,Other,No,0,0.37,Very Good,25-35 ,>5 years
45,101575,96925,562,23,1,20.27,12,0.89,Master's,Unemployed,Single,No,Yes,Business,No,1,0.95,Poor,36-45,1-3 years
38,105032,231371,586,33,1,21.7,48,0.88,PhD,Full-time,Single,No,No,Other,No,0,2.2,Fair,36-45,1-3 years
67,123337,79516,560,14,1,15.11,24,0.51,High School,Full-time,Divorced,Yes,No,Education,No,0,0.64,Poor,>60,1-3 years
24,103149,109797,441,47,1,10.01,24,0.5,Bachelor's,Full-time,Single,Yes,No,Home,No,0,1.06,Poor,<25,3-5 years
20,90260,234606,730,36,1,17.55,12,0.31,Master's,Part-time,Single,No,Yes,Auto,Yes,0,2.6,Good,<25,1-3 years
62,28396,143130,559,21,3,21.77,12,0.42,Bachelor's,Unemployed,Married,No,Yes,Home,Yes,0,5.04,Poor,>60,1-3 years
64,28195,122204,361,25,2,4.12,48,0.4,Master's,Unemployed,Single,Yes,Yes,Education,No,0,4.33,Poor,>60,1-3 years
37,61071,217077,585,23,2,24.18,48,0.35,Master's,Part-time,Single,Yes,No,Business,Yes,1,3.55,Fair,36-45,1-3 years
36,79661,169340,379,35,2,11.82,48,0.78,PhD,Part-time,Single,No,No,Other,No,0,2.13,Poor,36-45,1-3 years
52,16152,81251,370,110,3,10.62,36,0.47,Master's,Full-time,Single,No,No,Other,No,1,5.03,Poor,46-60,>5 years
21,143848,164743,329,10,2,8.48,60,0.86,PhD,Self-employed,Divorced,No,Yes,Other,Yes,1,1.15,Poor,<25,<1 year
22,145515,86758,677,83,4,2.34,36,0.41,High School,Unemployed,Single,No,No,Auto,No,0,0.6,Good,<25,>5 years
18,45271,130670,321,87,1,24.82,12,0.46,High School,Unemployed,Divorced,No,No,Home,Yes,0,2.89,Poor,<25,>5 years
21,136330,120813,429,22,4,5.74,60,0.66,Master's,Full-time,Single,No,No,Auto,No,0,0.89,Poor,<25,1-3 years
29,127117,173303,715,58,1,20.98,48,0.17,High School,Part-time,Divorced,No,Yes,Home,Yes,0,1.36,Good,25-35 ,3-5 years
44,72025,188838,374,74,1,7.19,36,0.58,PhD,Part-time,Married,No,Yes,Other,No,0,2.62,Poor,36-45,>5 years
59,140633,77245,840,46,3,22.24,48,0.72,PhD,Part-time,Single,Yes,No,Business,Yes,0,0.55,Excellent,46-60,3-5 years
40,26878,202099,421,118,3,5.4,48,0.37,PhD,Full-time,Single,No,No,Home,Yes,0,7.52,Poor,36-45,>5 years
42,78367,224492,325,68,1,18.12,36,0.62,High School,Self-employed,Divorced,No,No,Education,Yes,0,2.86,Poor,36-45,>5 years
38,82990,150482,728,102,1,18.22,60,0.71,Bachelor's,Full-time,Married,Yes,Yes,Education,Yes,0,1.81,Good,36-45,>5 years
69,87647,43149,679,14,1,2.57,48,0.13,Master's,Self-employed,Married,Yes,No,Home,Yes,0,0.49,Good,>60,1-3 years
41,47424,220264,396,27,2,17.17,12,0.46,High School,Full-time,Married,Yes,Yes,Auto,No,0,4.64,Poor,36-45,1-3 years
42,111438,188838,705,92,2,12.47,60,0.54,PhD,Unemployed,Married,Yes,Yes,Home,No,0,1.69,Good,36-45,>5 years
62,41212,71106,724,107,4,17.41,24,0.41,High School,Full-time,Divorced,No,No,Home,Yes,0,1.73,Good,>60,>5 years
63,125677,49866,839,84,3,18.83,48,0.88,Bachelor's,Part-time,Divorced,Yes,No,Home,No,0,0.4,Excellent,>60,>5 years
49,63907,58354,627,46,2,24.51,12,0.18,PhD,Self-employed,Single,No,Yes,Business,Yes,0,0.91,Fair,46-60,3-5 years
49,82144,121099,442,1,2,13.15,36,0.23,High School,Full-time,Married,Yes,No,Auto,Yes,0,1.47,Poor,46-60,<1 year
22,50087,101688,603,45,4,18.22,12,0.57,Bachelor's,Part-time,Divorced,Yes,Yes,Other,Yes,0,2.03,Fair,<25,3-5 years
53,43560,90680,394,35,2,4.79,60,0.4,Master's,Part-time,Single,No,Yes,Auto,No,0,2.08,Poor,46-60,1-3 years
63,137292,68134,808,14,4,14.81,60,0.69,PhD,Unemployed,Married,Yes,Yes,Education,Yes,1,0.5,Excellent,>60,1-3 years
59,26229,94758,371,95,2,6.4,48,0.54,High School,Unemployed,Married,Yes,Yes,Auto,Yes,0,3.61,Poor,46-60,>5 years
66,41220,159098,837,4,1,18.14,48,0.31,Master's,Full-time,Single,No,No,Other,Yes,0,3.86,Excellent,>60,<1 year
59,57544,184396,746,18,2,18.14,24,0.47,High School,Full-time,Married,Yes,No,Business,Yes,0,3.2,Very Good,46-60,1-3 years
56,125094,61156,811,9,4,6.34,48,0.61,Bachelor's,Unemployed,Married,Yes,Yes,Auto,No,0,0.49,Excellent,46-60,<1 year
33,148015,207456,758,111,4,8.13,60,0.24,High School,Unemployed,Married,Yes,Yes,Business,Yes,0,1.4,Very Good,25-35 ,>5 years
50,125464,205563,596,42,2,14,60,0.87,High School,Full-time,Married,No,Yes,Auto,No,0,1.64,Fair,46-60,3-5 years
66,111921,103497,376,62,1,12.34,24,0.26,High School,Part-time,Divorced,Yes,Yes,Business,Yes,0,0.92,Poor,>60,>5 years
38,61303,141624,731,92,3,11.28,24,0.76,PhD,Unemployed,Divorced,No,Yes,Education,Yes,0,2.31,Good,36-45,>5 years
26,34710,127242,585,115,4,4.71,12,0.47,PhD,Part-time,Married,No,Yes,Business,Yes,0,3.67,Fair,25-35 ,>5 years
23,105398,116460,762,85,1,2.05,48,0.6,PhD,Self-employed,Married,Yes,Yes,Business,Yes,0,1.1,Very Good,<25,>5 years
68,125771,88314,604,27,3,15.69,12,0.65,Bachelor's,Unemployed,Single,No,Yes,Auto,Yes,0,0.7,Fair,>60,1-3 years
62,26485,135850,414,17,1,13.43,36,0.29,Master's,Part-time,Married,No,Yes,Home,Yes,0,5.13,Poor,>60,1-3 years
52,90424,152641,337,107,4,10.05,24,0.51,Bachelor's,Unemployed,Divorced,Yes,Yes,Education,No,0,1.69,Poor,46-60,>5 years
56,125207,228786,596,43,4,11.33,24,0.69,Master's,Part-time,Divorced,Yes,No,Education,No,0,1.83,Fair,46-60,3-5 years
39,72047,56102,430,91,4,21.04,60,0.46,PhD,Unemployed,Divorced,Yes,No,Other,No,0,0.78,Poor,36-45,>5 years
58,109798,84523,594,75,2,7.69,24,0.68,PhD,Unemployed,Divorced,Yes,Yes,Auto,Yes,0,0.77,Fair,46-60,>5 years
22,84969,99444,344,53,2,14.15,36,0.39,Bachelor's,Self-employed,Married,Yes,Yes,Other,Yes,0,1.17,Poor,<25,3-5 years
59,27008,11054,647,69,1,2.93,60,0.21,Bachelor's,Part-time,Single,No,No,Other,No,0,0.41,Fair,46-60,>5 years
40,35661,142607,528,11,1,10.43,36,0.82,PhD,Full-time,Married,No,Yes,Business,Yes,1,4,Poor,36-45,<1 year
34,115542,160795,754,20,2,4.68,36,0.89,Master's,Self-employed,Divorced,No,No,Business,No,0,1.39,Very Good,25-35 ,1-3 years
29,128893,23724,789,41,1,19.58,36,0.64,Bachelor's,Full-time,Divorced,Yes,Yes,Home,Yes,0,0.18,Very Good,25-35 ,3-5 years
40,47462,196907,449,31,4,6.24,36,0.2,Master's,Part-time,Single,No,Yes,Auto,No,1,4.15,Poor,36-45,1-3 years
33,17634,51414,641,13,3,24.59,48,0.31,Bachelor's,Full-time,Divorced,No,No,Other,No,1,2.92,Fair,25-35 ,1-3 years
20,69119,234053,660,24,2,11.28,36,0.27,Bachelor's,Part-time,Single,No,No,Education,Yes,0,3.39,Fair,<25,1-3 years
47,16925,177903,575,97,4,2.65,36,0.74,High School,Full-time,Married,Yes,Yes,Education,No,0,10.51,Poor,46-60,>5 years
39,117889,181499,455,58,1,17.19,36,0.69,Bachelor's,Part-time,Married,No,Yes,Home,No,0,1.54,Poor,36-45,3-5 years
26,24669,52172,626,14,3,24.6,36,0.52,Master's,Part-time,Single,Yes,Yes,Home,No,1,2.11,Fair,25-35 ,1-3 years
46,50732,234735,417,79,4,24.56,60,0.81,Master's,Unemployed,Married,Yes,Yes,Business,Yes,0,4.63,Poor,46-60,>5 years
64,122560,182034,388,43,3,20.02,24,0.72,Bachelor's,Full-time,Married,Yes,Yes,Home,No,0,1.49,Poor,>60,3-5 years
54,65710,29741,831,80,4,19.61,48,0.24,PhD,Part-time,Divorced,Yes,No,Education,Yes,0,0.45,Excellent,46-60,>5 years
40,88615,36279,670,6,3,23.44,60,0.53,Bachelor's,Self-employed,Single,Yes,Yes,Business,No,0,0.41,Good,36-45,<1 year
30,110328,40011,706,99,4,14.17,48,0.3,Bachelor's,Full-time,Divorced,No,No,Other,Yes,0,0.36,Good,25-35 ,>5 years
49,74428,92414,550,71,4,15.6,24,0.8,Master's,Self-employed,Divorced,No,No,Education,Yes,0,1.24,Poor,46-60,>5 years
63,104491,44722,627,83,4,6.21,36,0.4,Bachelor's,Self-employed,Married,No,Yes,Auto,No,0,0.43,Fair,>60,>5 years
69,98485,12681,819,42,1,13.64,12,0.87,Master's,Full-time,Single,No,Yes,Home,Yes,0,0.13,Excellent,>60,3-5 years
64,132640,242010,528,16,2,15.18,24,0.12,Bachelor's,Self-employed,Married,Yes,No,Auto,No,0,1.82,Poor,>60,1-3 years
65,78615,210151,601,100,1,8.62,48,0.57,High School,Part-time,Divorced,No,No,Auto,No,0,2.67,Fair,>60,>5 years
40,30317,212925,689,1,2,4.36,12,0.49,Master's,Part-time,Married,Yes,No,Auto,Yes,0,7.02,Good,36-45,<1 year
62,90774,65773,815,56,4,18.72,60,0.12,High School,Part-time,Single,Yes,No,Business,Yes,0,0.72,Excellent,>60,3-5 years
34,143509,151953,531,9,4,11.13,48,0.34,Bachelor's,Unemployed,Single,Yes,No,Other,Yes,0,1.06,Poor,25-35 ,<1 year
57,38393,49136,470,31,1,17.9,48,0.55,Master's,Full-time,Single,Yes,No,Home,Yes,0,1.28,Poor,46-60,1-3 years
38,23678,183641,512,13,4,19.23,36,0.54,PhD,Full-time,Single,Yes,Yes,Home,No,0,7.76,Poor,36-45,1-3 years
19,113496,75120,612,87,3,3.05,48,0.47,Master's,Full-time,Married,No,Yes,Auto,No,0,0.66,Fair,<25,>5 years
54,144519,84068,429,84,3,7.98,48,0.64,High School,Unemployed,Divorced,No,Yes,Business,Yes,0,0.58,Poor,46-60,>5 years
23,51083,249477,798,55,1,9.92,24,0.84,Master's,Part-time,Divorced,No,Yes,Home,No,0,4.88,Very Good,<25,3-5 years
61,35158,65289,605,21,4,2.34,12,0.57,Master's,Part-time,Divorced,No,No,Other,Yes,0,1.86,Fair,>60,1-3 years
35,85325,210773,434,118,2,23.77,12,0.31,PhD,Part-time,Divorced,No,Yes,Education,Yes,0,2.47,Poor,25-35 ,>5 years
47,22175,80444,512,85,2,4.2,12,0.59,High School,Full-time,Divorced,Yes,Yes,Home,No,0,3.63,Poor,46-60,>5 years
39,80507,27095,588,113,1,8.28,12,0.77,Master's,Unemployed,Single,Yes,Yes,Education,Yes,0,0.34,Fair,36-45,>5 years
50,34771,42574,595,80,3,18.29,12,0.26,Bachelor's,Part-time,Married,No,No,Business,No,0,1.22,Fair,46-60,>5 years
47,123788,38878,656,69,3,18.65,36,0.17,Bachelor's,Part-time,Divorced,Yes,Yes,Education,No,0,0.31,Fair,46-60,>5 years
34,73246,65121,700,64,1,22.02,48,0.56,PhD,Part-time,Single,Yes,Yes,Auto,No,0,0.89,Good,25-35 ,>5 years
60,92267,200971,458,82,1,13.95,48,0.56,Master's,Part-time,Single,No,No,Home,No,1,2.18,Poor,46-60,>5 years
49,42090,218743,737,76,1,23.46,12,0.71,High School,Full-time,Divorced,No,Yes,Auto,Yes,0,5.2,Good,46-60,>5 years
59,42816,152562,432,85,1,14.73,60,0.19,High School,Full-time,Married,Yes,Yes,Auto,Yes,0,3.56,Poor,46-60,>5 years
68,139542,116038,553,71,4,12.14,24,0.53,PhD,Part-time,Married,Yes,No,Auto,No,0,0.83,Poor,>60,>5 years
31,30888,102104,683,100,4,22.26,12,0.55,Bachelor's,Part-time,Divorced,Yes,No,Business,Yes,1,3.31,Good,25-35 ,>5 years
27,65768,115602,747,78,4,14.45,60,0.8,High School,Self-employed,Divorced,Yes,Yes,Education,No,0,1.76,Very Good,25-35 ,>5 years
64,97449,35548,537,19,3,4.52,24,0.63,High School,Self-employed,Single,Yes,No,Business,Yes,0,0.36,Poor,>60,1-3 years
68,84362,95130,767,50,3,19.35,12,0.79,Bachelor's,Unemployed,Single,Yes,No,Education,No,0,1.13,Very Good,>60,3-5 years
53,116126,106005,495,108,2,6.28,48,0.57,Bachelor's,Self-employed,Married,No,No,Education,Yes,0,0.91,Poor,46-60,>5 years
51,121886,151388,484,92,1,14.84,48,0.31,Bachelor's,Self-employed,Married,Yes,No,Other,Yes,0,1.24,Poor,46-60,>5 years
26,140853,152559,479,31,1,17.76,36,0.36,PhD,Full-time,Married,Yes,No,Auto,No,0,1.08,Poor,25-35 ,1-3 years
59,98428,234811,793,85,1,8.05,48,0.26,High School,Full-time,Married,Yes,Yes,Auto,No,0,2.39,Very Good,46-60,>5 years
45,122548,187613,396,81,4,4.47,36,0.76,Master's,Unemployed,Divorced,No,Yes,Business,Yes,0,1.53,Poor,36-45,>5 years
28,52341,238544,475,43,4,9.73,12,0.73,Bachelor's,Full-time,Married,Yes,No,Home,No,0,4.56,Poor,25-35 ,3-5 years
31,65869,175201,437,61,3,19.25,24,0.51,PhD,Unemployed,Single,Yes,Yes,Auto,Yes,0,2.66,Poor,25-35 ,>5 years
56,33791,130640,527,56,2,23,48,0.68,Bachelor's,Full-time,Married,No,No,Business,No,0,3.87,Poor,46-60,3-5 years
64,44301,7104,361,32,1,23.49,24,0.81,Master's,Self-employed,Single,Yes,Yes,Home,Yes,0,0.16,Poor,>60,1-3 years
36,23117,219763,600,34,3,12.91,48,0.13,Bachelor's,Self-employed,Divorced,Yes,No,Business,Yes,0,9.51,Fair,36-45,1-3 years
32,110723,162299,533,7,4,6.55,60,0.68,Bachelor's,Self-employed,Divorced,Yes,No,Business,Yes,0,1.47,Poor,25-35 ,<1 year
45,148484,115779,590,34,1,23.2,60,0.52,Bachelor's,Self-employed,Single,No,No,Home,Yes,0,0.78,Fair,36-45,1-3 years
41,149671,13934,535,110,3,20.54,36,0.56,Bachelor's,Full-time,Married,No,No,Other,Yes,0,0.09,Poor,36-45,>5 years
25,25523,92541,811,3,2,13.56,12,0.18,Master's,Self-employed,Married,No,No,Education,Yes,0,3.63,Excellent,25-35 ,<1 year
60,53652,158459,482,26,1,23.26,48,0.33,Master's,Self-employed,Divorced,No,No,Education,Yes,0,2.95,Poor,46-60,1-3 years
26,22443,106106,302,12,1,5.84,24,0.87,Master's,Part-time,Divorced,No,No,Education,No,1,4.73,Poor,25-35 ,1-3 years
64,108798,211772,442,111,4,17.98,36,0.6,Master's,Full-time,Married,No,No,Education,No,1,1.95,Poor,>60,>5 years
50,100065,190332,689,95,3,4.32,60,0.49,High School,Self-employed,Married,Yes,Yes,Education,Yes,0,1.9,Good,46-60,>5 years
50,100918,239346,647,15,4,2.4,48,0.42,PhD,Full-time,Single,No,No,Education,No,0,2.37,Fair,46-60,1-3 years
36,146557,156011,585,111,3,6.63,12,0.66,Bachelor's,Full-time,Married,Yes,No,Home,No,0,1.06,Fair,36-45,>5 years
20,53421,128497,356,111,1,2.92,36,0.87,High School,Unemployed,Divorced,No,No,Business,Yes,0,2.41,Poor,<25,>5 years
27,87839,138548,525,41,4,5.98,24,0.88,Bachelor's,Self-employed,Single,Yes,Yes,Other,No,0,1.58,Poor,25-35 ,3-5 years
57,27118,39160,841,26,2,3.58,36,0.17,Bachelor's,Part-time,Divorced,Yes,Yes,Business,Yes,0,1.44,Excellent,46-60,1-3 years
64,52384,51454,645,20,4,21.38,60,0.48,High School,Unemployed,Single,No,Yes,Business,No,0,0.98,Fair,>60,1-3 years
59,107063,117087,406,107,2,16.56,48,0.21,Master's,Part-time,Married,Yes,Yes,Home,Yes,0,1.09,Poor,46-60,>5 years
18,45609,165234,639,38,2,4.93,36,0.75,PhD,Full-time,Married,Yes,Yes,Education,Yes,0,3.62,Fair,<25,3-5 years
46,39142,86003,502,69,3,5.37,48,0.25,High School,Full-time,Divorced,Yes,Yes,Business,Yes,0,2.2,Poor,46-60,>5 years
67,141500,70119,524,33,4,15.34,48,0.58,PhD,Part-time,Divorced,Yes,No,Education,No,0,0.5,Poor,>60,1-3 years
51,69560,80617,556,111,3,11.26,24,0.16,Bachelor's,Full-time,Divorced,No,Yes,Auto,No,0,1.16,Poor,46-60,>5 years
68,66998,135561,471,12,1,4.37,12,0.36,Bachelor's,Self-employed,Divorced,No,No,Other,Yes,0,2.02,Poor,>60,1-3 years
30,36623,10196,503,95,3,8.87,24,0.15,PhD,Full-time,Single,Yes,Yes,Home,No,0,0.28,Poor,25-35 ,>5 years
18,108496,234652,350,65,3,6.93,48,0.18,Master's,Unemployed,Married,Yes,Yes,Home,Yes,0,2.16,Poor,<25,>5 years
51,35340,20570,515,119,1,16.91,12,0.22,Bachelor's,Part-time,Divorced,Yes,No,Home,No,0,0.58,Poor,46-60,>5 years
46,80378,12316,549,42,4,13.18,60,0.86,Master's,Self-employed,Single,Yes,Yes,Home,Yes,1,0.15,Poor,46-60,3-5 years
65,77347,203696,429,64,2,14.15,60,0.36,High School,Self-employed,Married,Yes,Yes,Home,Yes,0,2.63,Poor,>60,>5 years
64,56818,68964,493,50,1,9.2,48,0.83,PhD,Self-employed,Single,No,Yes,Business,Yes,0,1.21,Poor,>60,3-5 years
30,100393,238582,502,103,2,19.34,24,0.66,High School,Part-time,Divorced,No,Yes,Education,No,0,2.38,Poor,25-35 ,>5 years
65,92653,248543,475,72,2,20.72,36,0.18,High School,Self-employed,Divorced,Yes,No,Business,Yes,0,2.68,Poor,>60,>5 years
66,90995,93178,388,49,4,13.71,48,0.35,High School,Unemployed,Divorced,Yes,Yes,Auto,No,0,1.02,Poor,>60,3-5 years
46,48079,106782,336,34,2,8.41,48,0.73,Bachelor's,Part-time,Single,Yes,Yes,Education,Yes,0,2.22,Poor,46-60,1-3 years
56,34421,127835,382,69,2,11.63,36,0.83,Master's,Self-employed,Married,No,Yes,Education,Yes,0,3.71,Poor,46-60,>5 years
41,16255,179735,666,18,2,18.94,48,0.26,High School,Full-time,Married,Yes,Yes,Auto,No,0,11.06,Fair,36-45,1-3 years
43,140121,234478,422,10,2,18.81,12,0.63,Bachelor's,Full-time,Married,Yes,No,Other,No,0,1.67,Poor,36-45,<1 year
34,115919,161984,426,6,4,10.76,60,0.19,Master's,Unemployed,Divorced,Yes,Yes,Other,Yes,0,1.4,Poor,25-35 ,<1 year
24,144486,131692,633,59,3,22.87,24,0.87,Master's,Unemployed,Divorced,Yes,No,Education,No,0,0.91,Fair,<25,3-5 years
30,68235,176922,432,78,4,16.74,48,0.86,Master's,Unemployed,Divorced,No,No,Home,No,0,2.59,Poor,25-35 ,>5 years
22,134439,24571,392,97,2,15.93,60,0.24,Master's,Unemployed,Single,No,No,Auto,Yes,0,0.18,Poor,<25,>5 years
43,96276,189248,728,80,3,5.55,60,0.84,Bachelor's,Full-time,Divorced,Yes,No,Education,No,0,1.97,Good,36-45,>5 years
66,68297,54091,774,2,1,22.85,24,0.45,High School,Part-time,Married,Yes,Yes,Business,Yes,0,0.79,Very Good,>60,<1 year
